uid,post_subtype,pre_crop_path,post_crop_path,pre_mask_path,post_mask_path,pad_used_px,pre_bbox_xyxy,post_bbox_xyxy,pre_size,post_size
00348711-c021-44c3-92f0-8bc4a4b7e083,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\00348711-c021-44c3-92f0-8bc4a4b7e083_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\00348711-c021-44c3-92f0-8bc4a4b7e083_post.jpg,,,12,"22,477,77,571","22,477,77,571",55x94,55x94
012cf2e0-e3c4-4c25-acb6-8a4eec92b73a,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\012cf2e0-e3c4-4c25-acb6-8a4eec92b73a_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\012cf2e0-e3c4-4c25-acb6-8a4eec92b73a_post.jpg,,,12,"210,0,258,60","210,0,258,60",48x60,48x60
03245385-7702-4727-8b39-d8a47d1b460e,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\03245385-7702-4727-8b39-d8a47d1b460e_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\03245385-7702-4727-8b39-d8a47d1b460e_post.jpg,,,12,"710,805,759,877","710,805,759,877",49x72,49x72
0324e438-6cbf-435e-8aca-2340efed216a,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0324e438-6cbf-435e-8aca-2340efed216a_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0324e438-6cbf-435e-8aca-2340efed216a_post.jpg,,,14,"996,879,1024,951","996,879,1024,951",28x72,28x72
04f1fae8-167d-4663-bef4-2791b4c1d5b1,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\04f1fae8-167d-4663-bef4-2791b4c1d5b1_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\04f1fae8-167d-4663-bef4-2791b4c1d5b1_post.jpg,,,12,"927,767,964,809","927,767,964,809",37x42,37x42
0562cba5-3da5-49ac-a2eb-11708038ded7,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0562cba5-3da5-49ac-a2eb-11708038ded7_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0562cba5-3da5-49ac-a2eb-11708038ded7_post.jpg,,,12,"506,377,555,430","506,377,555,430",49x53,49x53
0584a708-203d-4db0-b12d-e7c638d7adf1,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0584a708-203d-4db0-b12d-e7c638d7adf1_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0584a708-203d-4db0-b12d-e7c638d7adf1_post.jpg,,,12,"819,541,874,586","819,541,874,586",55x45,55x45
05973e37-b763-4f96-9f90-b85825bf1c6e,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\05973e37-b763-4f96-9f90-b85825bf1c6e_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\05973e37-b763-4f96-9f90-b85825bf1c6e_post.jpg,,,12,"574,70,620,134","574,70,620,134",46x64,46x64
059e8cf6-6bc8-4fd9-92c6-e5aa8d0e5d21,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\059e8cf6-6bc8-4fd9-92c6-e5aa8d0e5d21_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\059e8cf6-6bc8-4fd9-92c6-e5aa8d0e5d21_post.jpg,,,12,"520,71,563,146","520,71,563,146",43x75,43x75
06e1ca48-d4a7-4d2f-9edc-a457d2114346,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\06e1ca48-d4a7-4d2f-9edc-a457d2114346_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\06e1ca48-d4a7-4d2f-9edc-a457d2114346_post.jpg,,,12,"700,134,760,182","700,134,760,182",60x48,60x48
07d4b115-0fb6-408f-8724-08e5e22b36ee,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\07d4b115-0fb6-408f-8724-08e5e22b36ee_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\07d4b115-0fb6-408f-8724-08e5e22b36ee_post.jpg,,,13,"765,146,823,226","765,146,823,226",58x80,58x80
0834e141-1dda-471b-a6f0-196aca82783f,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0834e141-1dda-471b-a6f0-196aca82783f_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0834e141-1dda-471b-a6f0-196aca82783f_post.jpg,,,12,"582,218,623,293","582,218,623,293",41x75,41x75
08b070f4-7d00-4bce-8229-d1566d138f02,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\08b070f4-7d00-4bce-8229-d1566d138f02_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\08b070f4-7d00-4bce-8229-d1566d138f02_post.jpg,,,12,"579,309,618,376","579,309,618,376",39x67,39x67
0a2f5bf3-270e-4c83-9308-bf00d7fb7f2d,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0a2f5bf3-270e-4c83-9308-bf00d7fb7f2d_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0a2f5bf3-270e-4c83-9308-bf00d7fb7f2d_post.jpg,,,12,"935,617,981,677","935,617,981,677",46x60,46x60
0a3b4dd0-faea-4d2d-bd39-6c7648dbbdba,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0a3b4dd0-faea-4d2d-bd39-6c7648dbbdba_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0a3b4dd0-faea-4d2d-bd39-6c7648dbbdba_post.jpg,,,12,"755,313,796,377","755,313,796,377",41x64,41x64
0b4d24af-32b9-4e58-9990-30b33b460acb,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0b4d24af-32b9-4e58-9990-30b33b460acb_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0b4d24af-32b9-4e58-9990-30b33b460acb_post.jpg,,,12,"566,217,606,293","566,217,606,293",40x76,40x76
0dea7f13-ee88-42da-a9ce-ce9ffe159765,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0dea7f13-ee88-42da-a9ce-ce9ffe159765_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0dea7f13-ee88-42da-a9ce-ce9ffe159765_post.jpg,,,13,"515,0,574,43","515,0,574,43",59x43,59x43
0e3ba3a3-e963-4d89-b43a-d4a42632b7d4,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0e3ba3a3-e963-4d89-b43a-d4a42632b7d4_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0e3ba3a3-e963-4d89-b43a-d4a42632b7d4_post.jpg,,,12,"945,134,1008,189","945,134,1008,189",63x55,63x55
0ec98a10-e047-4418-9080-139b069d8d6f,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0ec98a10-e047-4418-9080-139b069d8d6f_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0ec98a10-e047-4418-9080-139b069d8d6f_post.jpg,,,12,"953,67,1004,130","953,67,1004,130",51x63,51x63
0f69526b-0edb-496f-b182-a10e424003df,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0f69526b-0edb-496f-b182-a10e424003df_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0f69526b-0edb-496f-b182-a10e424003df_post.jpg,,,13,"821,991,944,1024","821,991,944,1024",123x33,123x33
0f6adaf5-aff7-4ce8-89e1-ddc5eabcb750,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0f6adaf5-aff7-4ce8-89e1-ddc5eabcb750_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\0f6adaf5-aff7-4ce8-89e1-ddc5eabcb750_post.jpg,,,12,"633,252,704,307","633,252,704,307",71x55,71x55
1035473a-e627-4fbc-8b00-d4ae1b283833,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\1035473a-e627-4fbc-8b00-d4ae1b283833_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000018\1035473a-e627-4fbc-8b00-d4ae1b283833_post.jpg,,,12,"564,309,604,376","564,309,604,376",40x67,40x67
