uid,post_subtype,pre_crop_path,post_crop_path,pre_mask_path,post_mask_path,pad_used_px,pre_bbox_xyxy,post_bbox_xyxy,pre_size,post_size
02d907d3-ec59-4772-a5d9-e37f1474b2f0,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\02d907d3-ec59-4772-a5d9-e37f1474b2f0_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\02d907d3-ec59-4772-a5d9-e37f1474b2f0_post.jpg,,,14,"975,489,1024,550","975,489,1024,550",49x61,49x61
04dea810-1205-42a8-9ca8-e62aeaa88531,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\04dea810-1205-42a8-9ca8-e62aeaa88531_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\04dea810-1205-42a8-9ca8-e62aeaa88531_post.jpg,,,13,"568,156,599,192","568,156,599,192",31x36,31x36
063c2a19-6df6-4435-b70f-c10687c1a98f,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\063c2a19-6df6-4435-b70f-c10687c1a98f_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\063c2a19-6df6-4435-b70f-c10687c1a98f_post.jpg,,,13,"632,687,715,814","632,687,715,814",83x127,83x127
0b486f90-9d2e-49ca-9d6a-c2639bd0c878,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\0b486f90-9d2e-49ca-9d6a-c2639bd0c878_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\0b486f90-9d2e-49ca-9d6a-c2639bd0c878_post.jpg,,,12,"264,587,310,633","264,587,310,633",46x46,46x46
0fd1ac83-3591-49cb-b451-50ed7c460171,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\0fd1ac83-3591-49cb-b451-50ed7c460171_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\0fd1ac83-3591-49cb-b451-50ed7c460171_post.jpg,,,13,"35,380,169,502","35,380,169,502",134x122,134x122
10b7369a-5677-4e0b-85c9-48b299fcf268,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\10b7369a-5677-4e0b-85c9-48b299fcf268_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\10b7369a-5677-4e0b-85c9-48b299fcf268_post.jpg,,,13,"907,866,982,949","907,866,982,950",75x83,75x84
10e509fd-abf4-48c0-9462-ece8c05be7c4,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\10e509fd-abf4-48c0-9462-ece8c05be7c4_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\10e509fd-abf4-48c0-9462-ece8c05be7c4_post.jpg,,,12,"341,638,417,746","341,638,417,746",76x108,76x108
13592c13-0a85-4569-8b2c-fefd8358161f,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\13592c13-0a85-4569-8b2c-fefd8358161f_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\13592c13-0a85-4569-8b2c-fefd8358161f_post.jpg,,,13,"240,843,323,917","240,843,323,917",83x74,83x74
14df72e8-5d32-43e8-8620-7ee04e6a0769,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\14df72e8-5d32-43e8-8620-7ee04e6a0769_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\14df72e8-5d32-43e8-8620-7ee04e6a0769_post.jpg,,,14,"977,757,1024,836","977,757,1024,836",47x79,47x79
1561f97a-c4c8-457c-8c8e-d60186add599,no-damage,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\1561f97a-c4c8-457c-8c8e-d60186add599_pre.jpg,C:\Users\ryan\AutomatedDisasterDamageAssessment\outputs\crops\hurricane-harvey_00000023\1561f97a-c4c8-457c-8c8e-d60186add599_post.jpg,,,13,"597,63,723,188","597,63,723,188",126x125,126x125
